Date,Australia,New Zealand
19-Mar,"29,220",6
20-Mar,"29,220",6
21-Mar,"29,220",5
22-Mar,"29,220",7
23-Mar,"29,220",3
24-Mar,"29,228",5
25-Mar,"29,240",3
26-Mar,"29,253",1
27-Mar,"29,260",2
28-Mar,"29,278",10
29-Mar,"29,296",2
30-Mar,"29,305",2
31-Mar,"29,323",5
01-Apr,"29,335",0
02-Apr,"29,341",4
03-Apr,"29,348",1
04-Apr,"29,357",7
05-Apr,"29,365",10
06-Apr,"29,379",7
07-Apr,"29,385",19
08-Apr,"29,390",5
09-Apr,"29,396",8
10-Apr,"29,405",6
11-Apr,"29,419",8
12-Apr,"29,437",4
13-Apr,"29,450",1
14-Apr,"29,469",2
15-Apr,"29,484",3
16-Apr,"29,505",2
17-Apr,"29,519",2
18-Apr,"29,543",2
19-Apr,"29,559",0
20-Apr,"29,578",1
21-Apr,"29,602",4
22-Apr,"29,640",0
23-Apr,"29,658",2
24-Apr,"29,666",0
25-Apr,"29,695",4
26-Apr,"29,725",4
27-Apr,"29,750",2
28-Apr,"29,779",2
29-Apr,"29,801",1
30-Apr,"29,812",4
01-May,"29,826",3
02-May,"29,841",4
03-May,"29,852",1
04-May,"29,866",4
05-May,"29,886",1
06-May,"29,897",5
07-May,"29,906",3
08-May,"29,923",1
09-May,"29,931",1
10-May,"29,940",0
11-May,"29,947",1
12-May,"29,955",1
13-May,"29,957",0
14-May,"29,967",0
15-May,"29,975",1
16-May,"29,978",5
17-May,"29,988",1
18-May,"29,991",6
19-May,"29,997",1
20-May,"30,000",1
21-May,"30,008",3
22-May,"30,011",0
23-May,"30,021",4
24-May,"30,030",2
25-May,"30,048",1
26-May,"30,063",0
27-May,"30,073",1
28-May,"30,083",0
29-May,"30,098",1
30-May,"30,106",2
31-May,"30,118",0
01-Jun,"30,130",5
02-Jun,"30,137",2
03-Jun,"30,150",1
04-Jun,"30,158",2
05-Jun,"30,175",0
06-Jun,"30,195",3
07-Jun,"30,204",4
08-Jun,"30,211",6
09-Jun,"30,226",1
10-Jun,"30,229",5
11-Jun,"30,237",4
12-Jun,"30,248",3
13-Jun,"30,262",0
14-Jun,"30,274",1
15-Jun,"30,291",0
16-Jun,"30,304",2
17-Jun,"30,313",1
18-Jun,"30,323",2
19-Jun,"30,333",2
20-Jun,"30,356",2
21-Jun,"30,373",0
22-Jun,"30,393",4
23-Jun,"30,416",1
24-Jun,"30,438",2
25-Jun,"30,457",3
26-Jun,"30,502",3
27-Jun,"30,529",6
28-Jun,"30,562",5
29-Jun,"30,611",1
30-Jun,"30,643",1
01-Jul,"30,685",3
02-Jul,"30,734",3
03-Jul,"30,757",3
04-Jul,"30,803",9
05-Jul,"30,832",1
06-Jul,"30,861",5
07-Jul,"30,907",2
08-Jul,"30,955",0
09-Jul,"31,017",0
10-Jul,"31,103",3
11-Jul,"31,226",3
12-Jul,"31,323",15
13-Jul,"31,430",0
14-Jul,"31,516",22
15-Jul,"31,632",2
16-Jul,"31,771",6
17-Jul,"31,898",4
18-Jul,"32,018",3
19-Jul,"32,129",6
20-Jul,"32,275",8
21-Jul,"32,429",6
22-Jul,"32,582",5
23-Jul,"32,755",3
24-Jul,"32,917",1
25-Jul,"33,081",0
26-Jul,"33,268",2
27-Jul,"33,474",1
28-Jul,"33,732",6
29-Jul,"33,909",0
30-Jul,"34,131",4
31-Jul,"34,386",0
01-Aug,"34,613",4
02-Aug,"34,835",2
03-Aug,"35,090",2
04-Aug,"35,387",0
05-Aug,"35,689",1
06-Aug,"36,046",2
07-Aug,"36,331",4
08-Aug,"36,631",12
09-Aug,"37,010",3
10-Aug,"37,373",3
11-Aug,"37,755",8
12-Aug,"38,167",0
13-Aug,"38,663",3
14-Aug,"39,097",3
15-Aug,"39,615",4
16-Aug,"40,097",0
17-Aug,"40,774",12
18-Aug,"41,522",11
19-Aug,"42,228",20
20-Aug,"43,119",22
21-Aug,"44,026",31
22-Aug,"44,922",39
23-Aug,"45,750",39
24-Aug,"46,728",63
25-Aug,"47,839",67
26-Aug,"48,815",81
27-Aug,"49,937",77
28-Aug,"51,257",79
29-Aug,"52,612",56
30-Aug,"53,851",63
31-Aug,"55,093",57
01-Sep,"56,575",49
02-Sep,"58,210",30
03-Sep,"59,951",24
04-Sep,"61,609",27
05-Sep,"63,155",19
06-Sep,"64,628",27
07-Sep,"66,318",14
08-Sep,"68,045",22
09-Sep,"69,911",13
10-Sep,"71,955",21
11-Sep,"73,605",22
12-Sep,"75,324",42
13-Sep,"76,895",17
14-Sep,"78,545",11
15-Sep,"80,402",19
16-Sep,"82,202",14
17-Sep,"84,056",22
18-Sep,"85,629",23
19-Sep,"87,101",2
,,
,,
