"","Confirmed","Probable"
"25/03","3","0"
"26/03","1","0"
"27/03","2","0"
"28/03","10","0"
"29/03","2","0"
"30/03","2","0"
"31/03","5","0"
"01/04","0","0"
"02/04","4","0"
"03/04","1","0"
"04/04","7","0"
"05/04","10","0"
"06/04","7","0"
"07/04","19","0"
"08/04","5","0"
"09/04","8","0"
"10/04","6","0"
"11/04","8","0"
"12/04","4","0"
"13/04","1","0"
"14/04","2","0"
"15/04","3","0"
"16/04","2","0"
"17/04","2","0"
"18/04","2","0"
"19/04","0","0"
"20/04","1","0"
"21/04","4","0"
"22/04","0","0"
"23/04","2","0"
"24/04","0","0"
"25/04","4","0"
"26/04","4","0"
"27/04","2","0"
"28/04","2","0"
"29/04","1","0"
"30/04","4","0"
"01/05","3","0"
"02/05","4","0"
"03/05","1","0"
"04/05","4","0"
"05/05","1","0"
"06/05","5","0"
"07/05","3","0"
"08/05","1","0"
"09/05","1","0"
"10/05","0","0"
"11/05","1","0"
"12/05","1","0"
"13/05","0","0"
"14/05","0","0"
"15/05","1","0"
"16/05","5","0"
"17/05","1","0"
"18/05","6","0"
"19/05","1","0"
"20/05","1","0"
"21/05","3","0"
"22/05","0","0"
"23/05","4","0"
"24/05","2","0"
"25/05","1","0"
"26/05","0","0"
"27/05","1","0"
"28/05","0","0"
"29/05","1","0"
"30/05","2","0"
"31/05","0","0"
"01/06","5","0"
"02/06","2","0"
"03/06","1","0"
"04/06","2","0"
"05/06","0","0"
"06/06","3","0"
"07/06","4","0"
"08/06","6","0"
"09/06","1","0"
"10/06","5","0"
"11/06","4","0"
"12/06","3","0"
"13/06","0","0"
"14/06","1","0"
"15/06","0","0"
"16/06","2","0"
"17/06","1","0"
"18/06","2","0"
"19/06","2","0"
"20/06","2","0"
"21/06","0","0"
"22/06","4","0"
"23/06","1","0"
"24/06","2","0"
"25/06","3","0"
"26/06","3","0"
"27/06","6","0"
"28/06","5","0"
"29/06","1","0"
"30/06","1","0"
"01/07","3","0"
"02/07","3","0"
"03/07","3","0"
"04/07","9","0"
"05/07","1","0"
"06/07","5","0"
"07/07","2","0"
"08/07","0","0"
"09/07","0","0"
"10/07","3","0"
"11/07","3","0"
"12/07","15","0"
"13/07","0","0"
"14/07","22","0"
"15/07","2","0"
"16/07","6","0"
"17/07","4","0"
"18/07","3","0"
"19/07","6","0"
"20/07","8","0"
"21/07","6","0"
"22/07","5","0"
"23/07","3","0"
"24/07","1","0"
"25/07","0","0"
"26/07","2","0"
"27/07","1","0"
"28/07","6","0"
"29/07","0","0"
"30/07","4","0"
"31/07","0","0"
"01/08","4","0"
"02/08","2","0"
"03/08","2","0"
"04/08","0","0"
"05/08","1","0"
"06/08","2","0"
"07/08","4","0"
"08/08","12","0"
"09/08","3","0"
"10/08","3","0"
"11/08","8","0"
"12/08","0","0"
"13/08","3","0"
"14/08","3","0"
"15/08","4","0"
"16/08","0","0"
"17/08","12","0"
"18/08","11","0"
"19/08","20","0"
"20/08","22","0"
"21/08","31","0"
"22/08","39","0"
"23/08","39","0"
"24/08","63","0"
"25/08","67","0"
"26/08","81","0"
"27/08","78","0"
"28/08","78","0"
"29/08","56","0"
"30/08","63","0"
"31/08","58","0"
"01/09","48","0"
"02/09","30","0"
"03/09","24","0"
"04/09","27","0"
"05/09","19","0"
"06/09","27","0"
"07/09","14","0"
"08/09","22","0"
"09/09","13","0"
"10/09","25","0"
"11/09","18","0"
"12/09","41","0"
"13/09","17","0"
"14/09","11","0"
"15/09","19","0"
"16/09","14","0"
"17/09","21","0"
"18/09","25","0"
"19/09","25","0"
"20/09","11","0"
"21/09","24","0"
"22/09","17","0"
"23/09","11","0"
"24/09","11","0"
"25/09","5","0"
